Symbol,Name,LastSale, MarketCap ,ADR TSO,IPOyear,Sector,Industry,Summary Quote
NEPT,Neptune Wellness Solutions Inc.,4.28," 348,074,869 ",n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nept
PCSB,PCSB Financial Corporation,19.56," 348,247,003 ",n/a,2017,Finance,Banks,https://www.nasdaq.com/symbol/pcsb
STRL,Sterling Construction Company Inc,13.24," 349,754,089 ",n/a,n/a,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/strl
WTBA,West Bancorporation,21.42," 350,383,048 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/wtba
PDLI,"PDL BioPharma, Inc.",2.91," 351,105,896 ",n/a,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/pdli
GRTS,"Gritstone Oncology, Inc.",9.83," 351,116,522 ",n/a,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/grts
RRBI,"Red River Bancshares, Inc.",48.1," 351,141,833 ",n/a,2019,Finance,Major Banks,https://www.nasdaq.com/symbol/rrbi
DEACU,Diamond Eagle Acquisition Corp.,10.04," 351,400,000 ",n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/deacu
CZNC,Citizens & Northern Corp,25.71," 351,568,798 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/cznc
ELOX,"Eloxx Pharmaceuticals, Inc.",9.77," 351,968,373 ",n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/elox
MCBC,Macatawa Bank Corporation,10.35," 352,352,264 ",n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/mcbc
PTSI,"P.A.M. Transportation Services, Inc.",59.57," 352,470,329 ",n/a,1986,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/ptsi
CHUY,"Chuy&#39;s Holdings, Inc.",21.02," 352,532,474 ",n/a,2012,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/chuy
TITN,Titan Machinery Inc.,15.9," 352,722,404 ",n/a,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/titn
NXTC,"NextCure, Inc.",15.53," 352,760,300 ",n/a,2019,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nxtc
PGNX,Progenics Pharmaceuticals Inc.,4.09," 353,272,249 ",n/a,1997,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pgnx
NBEV,New Age Beverages Corporation,4.69," 353,591,960 ",n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/nbev
BBH,VanEck Vectors Biotech ETF,120.18," 354,110,731 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bbh
CLOU,Global X Cloud Computing ETF,15.42," 355,367,423 ",n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/clou
LMNR,Limoneira Co,20," 355,455,060 ",n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/lmnr
WLDN,"Willdan Group, Inc.",31.97," 355,728,048 ",n/a,2006,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/wldn
PETS,"PetMed Express, Inc.",17.6," 355,931,030 ",n/a,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/pets
INSG,Inseego Corp.,4.53," 356,663,253 ",n/a,n/a,Capital Goods,Telecommunications Equipment,https://www.nasdaq.com/symbol/insg
AGEN,Agenus Inc.,2.66," 357,127,780 ",n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen
GNTY,"Guaranty Bancshares, Inc.",30.605," 358,233,943 ",n/a,2017,Finance,Major Banks,https://www.nasdaq.com/symbol/gnty
